"filename", "language", "C#", "comment", "blank", "total"
"c:\Users\leowik23\Documents\GitHub\Unityprojekt\Skol-projekt\Anura\Assets\Scripts\Managers\AudioManager.cs", "C#", 130, 3, 21, 154
"c:\Users\leowik23\Documents\GitHub\Unityprojekt\Skol-projekt\Anura\Assets\Scripts\Managers\CameraManager.cs", "C#", 118, 17, 26, 161
"c:\Users\leowik23\Documents\GitHub\Unityprojekt\Skol-projekt\Anura\Assets\Scripts\Managers\FadeManager.cs", "C#", 13, 0, 6, 19
"c:\Users\leowik23\Documents\GitHub\Unityprojekt\Skol-projekt\Anura\Assets\Scripts\Managers\GameOverManager.cs", "C#", 34, 0, 7, 41
"c:\Users\leowik23\Documents\GitHub\Unityprojekt\Skol-projekt\Anura\Assets\Scripts\Managers\HealthManager.cs", "C#", 57, 3, 16, 76
"c:\Users\leowik23\Documents\GitHub\Unityprojekt\Skol-projekt\Anura\Assets\Scripts\Managers\ItemManager.cs", "C#", 132, 15, 26, 173
"c:\Users\leowik23\Documents\GitHub\Unityprojekt\Skol-projekt\Anura\Assets\Scripts\Managers\MainMenuManager.cs", "C#", 133, 0, 18, 151
"c:\Users\leowik23\Documents\GitHub\Unityprojekt\Skol-projekt\Anura\Assets\Scripts\Managers\PauseMenuManager.cs", "C#", 79, 0, 12, 91
"c:\Users\leowik23\Documents\GitHub\Unityprojekt\Skol-projekt\Anura\Assets\Scripts\Managers\RoomManager.cs", "C#", 455, 45, 101, 601
"c:\Users\leowik23\Documents\GitHub\Unityprojekt\Skol-projekt\Anura\Assets\Scripts\Managers\StatsManager_old.cs", "C#", 0, 23, 7, 30
"Total", "-", 1151, 106, 240, 1497
